Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;09 Cataluña;17 Girona;2025M03;2,17
Total Nacional;09 Cataluña;17 Girona;2025M02;1,87
Total Nacional;09 Cataluña;17 Girona;2025M01;1,84
Total Nacional;09 Cataluña;17 Girona;2024M12;1,67
Total Nacional;09 Cataluña;17 Girona;2024M11;1,80
Total Nacional;09 Cataluña;17 Girona;2024M10;2,88
Total Nacional;09 Cataluña;17 Girona;2024M09;3,35
Total Nacional;09 Cataluña;17 Girona;2024M08;3,67
Total Nacional;09 Cataluña;17 Girona;2024M07;3,74
Total Nacional;09 Cataluña;17 Girona;2024M06;3,01
Total Nacional;09 Cataluña;17 Girona;2024M05;2,79
Total Nacional;09 Cataluña;17 Girona;2024M04;2,70
Total Nacional;09 Cataluña;17 Girona;2024M03;2,28
Total Nacional;09 Cataluña;17 Girona;2024M02;1,88
Total Nacional;09 Cataluña;17 Girona;2024M01;1,69
Total Nacional;09 Cataluña;17 Girona;2023M12;1,92
Total Nacional;09 Cataluña;17 Girona;2023M11;2,03
Total Nacional;09 Cataluña;17 Girona;2023M10;2,79
Total Nacional;09 Cataluña;17 Girona;2023M09;3,19
Total Nacional;09 Cataluña;17 Girona;2023M08;3,67
Total Nacional;09 Cataluña;17 Girona;2023M07;3,55
Total Nacional;09 Cataluña;17 Girona;2023M06;2,90
Total Nacional;09 Cataluña;17 Girona;2023M05;2,74
Total Nacional;09 Cataluña;17 Girona;2023M04;2,50
Total Nacional;09 Cataluña;17 Girona;2023M03;2,21
Total Nacional;09 Cataluña;17 Girona;2023M02;1,99
Total Nacional;09 Cataluña;17 Girona;2023M01;1,97
Total Nacional;09 Cataluña;17 Girona;2022M12;1,92
Total Nacional;09 Cataluña;17 Girona;2022M11;2,04
Total Nacional;09 Cataluña;17 Girona;2022M10;2,49
Total Nacional;09 Cataluña;17 Girona;2022M09;3,03
Total Nacional;09 Cataluña;17 Girona;2022M08;3,76
Total Nacional;09 Cataluña;17 Girona;2022M07;3,52
Total Nacional;09 Cataluña;17 Girona;2022M06;2,72
Total Nacional;09 Cataluña;17 Girona;2022M05;2,58
Total Nacional;09 Cataluña;17 Girona;2022M04;2,50
Total Nacional;09 Cataluña;17 Girona;2022M03;2,14
Total Nacional;09 Cataluña;17 Girona;2022M02;1,83
Total Nacional;09 Cataluña;17 Girona;2022M01;1,84
Total Nacional;09 Cataluña;17 Girona;2021M12;1,80
Total Nacional;09 Cataluña;17 Girona;2021M11;1,83
Total Nacional;09 Cataluña;17 Girona;2021M10;2,27
Total Nacional;09 Cataluña;17 Girona;2021M09;2,78
Total Nacional;09 Cataluña;17 Girona;2021M08;3,31
Total Nacional;09 Cataluña;17 Girona;2021M07;2,95
Total Nacional;09 Cataluña;17 Girona;2021M06;2,12
Total Nacional;09 Cataluña;17 Girona;2021M05;1,71
Total Nacional;09 Cataluña;17 Girona;2021M04;1,76
Total Nacional;09 Cataluña;17 Girona;2021M03;1,59
Total Nacional;09 Cataluña;17 Girona;2021M02;1,66
Total Nacional;09 Cataluña;17 Girona;2021M01;1,65
Total Nacional;09 Cataluña;17 Girona;2020M12;1,61
Total Nacional;09 Cataluña;17 Girona;2020M11;1,79
Total Nacional;09 Cataluña;17 Girona;2020M10;1,81
Total Nacional;09 Cataluña;17 Girona;2020M09;2,08
Total Nacional;09 Cataluña;17 Girona;2020M08;2,71
Total Nacional;09 Cataluña;17 Girona;2020M07;2,53
Total Nacional;09 Cataluña;17 Girona;2020M06;1,75
Total Nacional;09 Cataluña;17 Girona;2020M05;2,08
Total Nacional;09 Cataluña;17 Girona;2020M04;0,00
Total Nacional;09 Cataluña;17 Girona;2020M03;2,14
Total Nacional;09 Cataluña;17 Girona;2020M02;1,91
Total Nacional;09 Cataluña;17 Girona;2020M01;1,87
